,ward,diagnosis,Gross_Amount,# of Patient
2193,Kariobangi South Ward,Candidiasis of vulva and vagina - Candidiasis,785.0,1
2194,Kariobangi South Ward,Chest pain - unspecified,9362.029999999999,3
2195,Kariobangi South Ward,Chronic atrophic gastritis - Gastritis and duodenitis,8331.52,1
2196,Kariobangi South Ward,Chronic gastritis - unspecified,11749.439999999999,3
2197,Kariobangi South Ward,Chronic nasopharyngitis - Chronic rhinitis,19736.8,4
2198,Kariobangi South Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,500.0,1
2199,Kariobangi South Ward,Chronic rhinitis,3977.0,1
2200,Kariobangi South Ward,Contraceptive management,5322.03,1
2201,Kariobangi South Ward,Cough,10869.400000000001,2
2202,Kariobangi South Ward,Crushing injuries involving multiple body regions,1748.16,1
2203,Kariobangi South Ward,Dental caries,173405.74,13
2204,Kariobangi South Ward,Dental caries - unspecified,11751.0,2
2205,Kariobangi South Ward,Diabetes insipidus - Hypofunction and other disorders of pituitary gland,6821.8,1
2206,Kariobangi South Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,3058.0,1
2207,Kariobangi South Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,1224.0,1
2208,Kariobangi South Ward,Disorder of muscle - unspecified,7256.32,1
2209,Kariobangi South Ward,Disorders of initiating and maintaining sleep [insomnias] - Sleep disorders,8963.2,1
2210,Kariobangi South Ward,Disorders of tooth development and eruption,3976.52,1
2211,Kariobangi South Ward,Essential (primary) hypertension,55175.520000000004,10
2212,Kariobangi South Ward,Fever of other and unknown origin,5955.96,2
2213,Kariobangi South Ward,Fibroadenosis of breast - Benign mammary dysplasia,3284.8,1
2214,Kariobangi South Ward,Fibromyalgia - Other soft tissue disorders,2000.0,1
2215,Kariobangi South Ward,Functional diarrhoea - Other functional intestinal disorders,8357.06,2
2216,Kariobangi South Ward,Functional dyspepsia,23773.260000000002,4
2217,Kariobangi South Ward,Gastritis - unspecified,75130.89,18
2218,Kariobangi South Ward,Gastritis and duodenitis,54181.91,6
2219,Kariobangi South Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,2415.56,1
2220,Kariobangi South Ward,Gout,1851.2,1
2221,Kariobangi South Ward,Haematoma of obstetric wound - Complications of the puerperium,4428.96,1
2222,Kariobangi South Ward,Haemorrhoids and perianal venous thrombosis,9453.98,1
2223,Kariobangi South Ward,Headache,16488.5,3
2224,Kariobangi South Ward,Helminthiasis - unspecified,5905.6,1
2225,Kariobangi South Ward,Hyperplasia of prostate,4875.0,1
2226,Kariobangi South Ward,Hypertensive heart disease,11194.93,3
2227,Kariobangi South Ward,Hypoparathyroidism,2307.4,1
2228,Kariobangi South Ward,Infections of urethra in pregnancy - Infections of genitourinary tract in pregnancy,6100.0,1
2229,Kariobangi South Ward,Iron deficiency anaemia,3387.24,1
2230,Kariobangi South Ward,Low back pain - Dorsalgia,8463.04,2
2231,Kariobangi South Ward,Lumbago with sciatica - Dorsalgia,10948.36,3
2232,Kariobangi South Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,4392.48,1
2233,Kariobangi South Ward,Migraine,1362.0,2
2234,Kariobangi South Ward,Nausea and vomiting,6010.88,2
2235,Kariobangi South Ward,Need for immunization against combinations of infectious diseases,10798.3,5
2236,Kariobangi South Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,3490.6,3
2237,Kariobangi South Ward,Open wound of wrist and hand,5550.88,1
2238,Kariobangi South Ward,Other abnormal uterine and vaginal bleeding,17256.760000000002,2
2239,Kariobangi South Ward,Other acute gastritis - Gastritis and duodenitis,3679.0,1
2240,Kariobangi South Ward,Other allergic rhinitis - Vasomotor and allergic rhinitis,3343.45,1
2241,Kariobangi South Ward,Other disorders of white blood cells,3764.04,1
2242,Kariobangi South Ward,Other rheumatoid arthritis,3477.32,1
2243,Kariobangi South Ward,Other secondary hypertension - Secondary hypertension,8324.8,1
2244,Kariobangi South Ward,Other specified abnormal uterine and vaginal bleeding - Other abnormal uterine and vaginal bleeding,9886.52,3
2245,Kariobangi South Ward,Other specified diabetes mellitus,15696.9,2
2246,Kariobangi South Ward,Other specified disorders of urinary system - Other disorders of urinary system,2699.0,1
2247,Kariobangi South Ward,Paraesthesia of skin - Disturbances of skin sensation,4464.16,1
2248,Kariobangi South Ward,Pulpitis - Diseases of pulp and periapical tissues,10444.8,2
2249,Kariobangi South Ward,Routine general health check-up of defined subpopulation,12272.04,1
2250,Kariobangi South Ward,Sciatica - Dorsalgia,21844.73,3
2251,Kariobangi South Ward,Spondylosis,2481.98,1
2252,Kariobangi South Ward,Streptococcal pharyngitis - Acute pharyngitis,4707.81,1
2253,Kariobangi South Ward,Superficial mycosis - unspecified,4894.24,1
2254,Kariobangi South Ward,Supervision of normal pregnancy,9237.32,2
2255,Kariobangi South Ward,Tinea corporis - Dermatophytosis,9417.76,2
2256,Kariobangi South Ward,Tinea pedis - Dermatophytosis,11529.04,2
2257,Kariobangi South Ward,Type 2 diabetes mellitus,18940.56,3
2258,Kariobangi South Ward,Unspecified acute lower respiratory infection,7604.48,1
2259,Kariobangi South Ward,Unspecified diabetes mellitus,24444.27,6
2260,Kariobangi South Ward,Urinary tract infection - site not specified,8910.560000000001,2
2261,Kariobangi South Ward,Varicella [chickenpox],5513.6,1
2262,Karura Ward,Abdominal and pelvic pain,20669.32,5
2263,Karura Ward,Abdominal pregnancy - Ectopic pregnancy,6087.3,1
2264,Karura Ward,Acute laryngitis - Acute laryngitis and tracheitis,36914.8,5
2265,Karura Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,21800.559999999998,5
2266,Karura Ward,Acute nasopharyngitis [common cold],129661.27,30
2267,Karura Ward,Acute pharyngitis,76672.76,17
2268,Karura Ward,Acute sinusitis,28717.5,1
2269,Karura Ward,Acute suppurative otitis media - Suppurative and unspecified otitis media,4161.76,1
2270,Karura Ward,Acute tonsillitis,139883.59,30
2271,Karura Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,6763.24,2
2272,Karura Ward,Acute upper respiratory infection - unspecified,65186.520000000004,15
2273,Karura Ward,Acute upper respiratory infections of multiple and unspecified sites,2302.05,1
2274,Karura Ward,Adenoviral pneumonia - Viral pneumonia,10642.04,1
2275,Karura Ward,Alcoholic gastritis - Gastritis and duodenitis,105505.06,2
2276,Karura Ward,Allergic contact dermatitis,34403.68,6
2277,Karura Ward,Allergic rhinitis - unspecified,29607.600000000002,7
2278,Karura Ward,Amoebiasis,9168.8,2
2279,Karura Ward,Anaemia - unspecified,2744.32,1
2280,Karura Ward,Antenatal screening,2602.72,1
2281,Karura Ward,Antenatal screening - unspecified,3219.84,1
2282,Karura Ward,Arthritis - unspecified,6750.08,1
2283,Karura Ward,Asthma,2596.9,1
2284,Karura Ward,Asthma - unspecified,9324.8,2
2285,Karura Ward,Atopic dermatitis,6572.0,1
2286,Karura Ward,Bacterial pneumonia - unspecified,13125.64,3
2287,Karura Ward,Blighted ovum and nonhydatidiform mole - Other abnormal products of conception,4031.33,1
2288,Karura Ward,Calculus in urethra - Calculus of lower urinary tract,1958.8,1
2289,Karura Ward,Calculus of lower urinary tract,6450.0,1
2290,Karura Ward,Candidiasis,4294.68,1
2291,Karura Ward,Chronic atrophic gastritis - Gastritis and duodenitis,3369.07,1
2292,Karura Ward,Chronic gastritis - unspecified,26921.9,4
2293,Karura Ward,Chronic nasopharyngitis - Chronic rhinitis,13481.6,3
2294,Karura Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,2476.16,1
2295,Karura Ward,Chronic rhinitis,3423.89,1
2296,Karura Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,4122.72,1
2297,Karura Ward,Cough,13209.8,3
2298,Karura Ward,Crushing injury of shoulder and upper arm,1718.0,1
2299,Karura Ward,Cutaneous abscess - furuncle and carbuncle,7050.24,1
2300,Karura Ward,Cystitis,3830.13,1
2301,Karura Ward,Dental caries,51942.4,11
2302,Karura Ward,Dental caries - unspecified,16323.08,3
2303,Karura Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,4771.2,1
2304,Karura Ward,Dietary calcium deficiency,1449.0,1
2305,Karura Ward,Dislocation - sprain and strain of joints and ligaments of knee,2491.84,1
2306,Karura Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,8977.48,2
2307,Karura Ward,Endometriosis,3401.27,1
2308,Karura Ward,Essential (primary) hypertension,43985.85,12
2309,Karura Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,3999.74,1
2310,Karura Ward,Female pelvic inflammatory disease - unspecified,500.0,1
2311,Karura Ward,Fever - unspecified,1001.0,1
2312,Karura Ward,Functional diarrhoea - Other functional intestinal disorders,6405.12,1
2313,Karura Ward,Functional dyspepsia,5955.52,2
2314,Karura Ward,Gastric ulcer,3889.6,1
2315,Karura Ward,Gastritis - unspecified,68919.04,16
2316,Karura Ward,Gastritis and duodenitis,16560.8,3
2317,Karura Ward,Gestational [pregnancy-induced] hypertension,1056.16,1
2318,Karura Ward,Gout - unspecified,8240.0,1
2319,Karura Ward,Headache,2804.32,1
2320,Karura Ward,Hypertensive heart disease,52360.95,10
2321,Karura Ward,Infections of genitourinary tract in pregnancy,6028.44,1
2322,Karura Ward,Iron deficiency - Deficiency of other nutrient elements,4806.56,2
2323,Karura Ward,Iron deficiency anaemia,8252.5,1
2324,Karura Ward,Lumbago with sciatica - Dorsalgia,26868.76,5
2325,Karura Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,7364.94,1
2326,Karura Ward,Malignant neoplasm: Tonsil - unspecified,9201.76,1
2327,Karura Ward,Nausea and vomiting,3039.52,1
2328,Karura Ward,Need for immunization against certain single viral diseases,500.0,1
2329,Karura Ward,Need for immunization against combinations of infectious diseases,7657.6,2
2330,Karura Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,6258.62,1
2331,Karura Ward,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,4763.2,1
2332,Karura Ward,Nonsuppurative otitis media,3926.4,1
2333,Karura Ward,Other allergic rhinitis - Vasomotor and allergic rhinitis,5183.2,1
2334,Karura Ward,Other chest pain - Pain in throat and chest,6022.08,1
2335,Karura Ward,Other mononeuropathies,7048.0,1
2336,Karura Ward,Other rheumatoid arthritis,8885.8,1
2337,Karura Ward,Other specified diabetes mellitus,11813.86,1
2338,Karura Ward,Otitis externa,7554.12,1
2339,Karura Ward,Primary dysmenorrhoea - Pain and other conditions associated with female genital organs and menstrual cycle,2990.24,1
2340,Karura Ward,Recurrent oral aphthae - Stomatitis and related lesions,8549.36,1
2341,Karura Ward,Routine general health check-up of other defined subpopulations - Routine general health check-up of defined subpopulation,3943.36,1
2342,Karura Ward,Sciatica - Dorsalgia,4115.32,1
2343,Karura Ward,Single spontaneous delivery,5202.24,1
2344,Karura Ward,Spondylosis,3842.56,1
2345,Karura Ward,Spontaneous abortion,5648.0,1
2346,Karura Ward,Stroke - not specified as haemorrhage or infarction,1984.0,1
2347,Karura Ward,Supervision of high-risk pregnancy,7742.12,1
2348,Karura Ward,Supervision of normal pregnancy,11735.46,2
2349,Karura Ward,Tinea corporis - Dermatophytosis,8279.279999999999,2
2350,Karura Ward,Tinea pedis - Dermatophytosis,1225.0,1
2351,Karura Ward,Type 2 diabetes mellitus,28268.8,6
2352,Karura Ward,Unspecified acute lower respiratory infection,8828.8,1
2353,Karura Ward,Unspecified diabetes mellitus,10801.119999999999,2
2354,Karura Ward,Viral warts,1406.56,1
2355,Kasarani Ward,Abdominal and pelvic pain,2173.76,1
2356,Kasarani Ward,Abdominal pregnancy - Ectopic pregnancy,7912.64,1
2357,Kasarani Ward,Acne,5927.88,1
2358,Kasarani Ward,Acne keloid - Other follicular disorders,8874.72,1
2359,Kasarani Ward,Acute laryngitis - Acute laryngitis and tracheitis,32829.6,6
2360,Kasarani Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,2736.0,1
2361,Kasarani Ward,Acute lymphadenitis,3119.5,1
2362,Kasarani Ward,Acute nasopharyngitis [common cold],136824.09,34
2363,Kasarani Ward,Acute pharyngitis,62062.47,11
2364,Kasarani Ward,Acute pharyngitis - unspecified,16066.7,2
2365,Kasarani Ward,Acute tonsillitis,313614.13,26
2366,Kasarani Ward,Acute tonsillitis - unspecified,10004.8,1
2367,Kasarani Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,9269.7,1
2368,Kasarani Ward,Acute upper respiratory infection - unspecified,70953.7,16
2369,Kasarani Ward,Acute upper respiratory infections of multiple and unspecified sites,29769.6,4
2370,Kasarani Ward,Acute vaginitis - Other inflammation of vagina and vulva,20510.3,1
2371,Kasarani Ward,Adenoviral pneumonia - Viral pneumonia,24957.3,3
2372,Kasarani Ward,Allergic rhinitis - unspecified,21590.28,7
2373,Kasarani Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,4120.5,1
2374,Kasarani Ward,Amoebiasis,13550.32,3
2375,Kasarani Ward,Anaemia - unspecified,2540.16,1
2376,Kasarani Ward,Antenatal screening,14320.8,4
2377,Kasarani Ward,Arthritis - unspecified,4947.88,1
2378,Kasarani Ward,Atopic dermatitis,4129.27,1
2379,Kasarani Ward,Bacterial pneumonia - not elsewhere classified,9944.0,2
2380,Kasarani Ward,Bitten by rat,4361.48,1
2381,Kasarani Ward,Bladder disorders in diseases classified elsewhere,9489.6,1
2382,Kasarani Ward,Calculus of lower urinary tract,17722.21,2
2383,Kasarani Ward,Candidiasis of other sites - Candidiasis,11624.32,1
2384,Kasarani Ward,Candidiasis of vulva and vagina - Candidiasis,5476.8,1
2385,Kasarani Ward,Cellulitis,2109.0,1
2386,Kasarani Ward,Chlamydial infection of lower genitourinary tract - Other sexually transmitted chlamydial diseases,4657.92,1
2387,Kasarani Ward,Chronic conjunctivitis - Conjunctivitis,934.0,1
2388,Kasarani Ward,Chronic gastritis - unspecified,16479.46,3
2389,Kasarani Ward,Chronic nasopharyngitis - Chronic rhinitis,15142.08,2
2390,Kasarani Ward,Chronic rhinitis,6943.84,1
2391,Kasarani Ward,Chronic serous otitis media - Nonsuppurative otitis media,3069.6,1
2392,Kasarani Ward,Conjunctivitis,2988.0,1
2393,Kasarani Ward,Constipation - Other functional intestinal disorders,3987.96,1
2394,Kasarani Ward,Cough,4042.6,2
2395,Kasarani Ward,Cutaneous abscess - furuncle and carbuncle,3999.36,1
2396,Kasarani Ward,Cystitis,5000.58,1
2397,Kasarani Ward,Dental caries,99301.78,14
2398,Kasarani Ward,Dental caries - unspecified,9841.0,2
2399,Kasarani Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,7783.46,1
2400,Kasarani Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,9774.44,2
2401,Kasarani Ward,Disorders of tooth development and eruption,560.0,1
2402,Kasarani Ward,Dizziness and giddiness,1639.04,1
2403,Kasarani Ward,Essential (primary) hypertension,40581.23,8
2404,Kasarani Ward,Fever of other and unknown origin,4697.6,1
2405,Kasarani Ward,Foreign body in bronchus - Foreign body in respiratory tract,9160.64,1
2406,Kasarani Ward,Fracture at wrist and hand level,4457.44,1
2407,Kasarani Ward,Fracture of shaft of radius - Fracture of forearm,6224.0,1
2408,Kasarani Ward,Functional dyspepsia,34498.14,8
2409,Kasarani Ward,Gastritis - unspecified,80522.24,16
2410,Kasarani Ward,Gastritis and duodenitis,20994.13,6
2411,Kasarani Ward,Gastro-oesophageal reflux disease with oesophagitis - Gastro-oesophageal reflux disease,3423.68,1
2412,Kasarani Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,20070.8,4
2413,Kasarani Ward,Gout,15224.400000000001,3
2414,Kasarani Ward,Headache,32273.46,9
2415,Kasarani Ward,Hypertensive heart disease,27698.239999999998,7
2416,Kasarani Ward,Infections of genitourinary tract in pregnancy,10762.08,1
2417,Kasarani Ward,Iron deficiency anaemia,8432.8,1
2418,Kasarani Ward,Irritable bowel syndrome with diarrhoea - Irritable bowel syndrome,1896.0,1
